id,geo_point_2d,secteur,commune,antenne_mairie,adresse,perimetre_pave,type_dechet_code,type_dechet,type_conteneur_code,type_conteneur,volume_m3,marque,modele,modele_info_sup,type_avaloir,type_collecteur,nom_collecteur,etat,etat_info_sup,date_info_etat,date_instal_conteneur_sup,type_installation,date_renouvellement_materiel,x_longitude,y_latitude
165,"45.19794,5.68047",Nord-Ouest,Fontaine,,Square André Hermitte (parking) / Rue Joseph Bertoin / Rue des Alpes,,VER,verre,CA,aérien,4.0,UTPM,PV400,,,Prestataire,Lely,Usé,UTPM_PV400_4_A_c,,,,,5.680473,45.197941
1093,"45.09599,5.68362",Grand-Sud,Varces Allières et Risset,,Rue des Tanneurs / Rue de la Ganterie (devant commerces),,VER,verre,CA,aérien,4.0,Quadria,Linéance,Quadria 4m3 crochet V1926A,,Prestataire,Lely,Bon,UTPM_Ecobox_3_A_c,,2015-01-19,matériel neuf au 2015-01-19,2018-10-31,5.683624,45.095993
1219,"45.05602,5.77247",Grand-Sud,Vizille,,Déchèterie (Péage de Vizille) / 526 Rue du Maquis de l'Oisans (RD 1091),,VER,verre,CA,aérien,0.0,?,?,bois Kinshofer,,Prestataire,Lely,,Citec_Cyclea_2.5_A_c,,,,2018-07-11,5.772468,45.056022
549,"45.0217,5.64537",Grand-Sud,Le Gua,,Les Saillants / Mairie,,VER,verre,CA,aérien,4.0,Citec,Cyclea,Citec Cycléa 4m3 crochet,,Prestataire,Lely,Bon,SNNECO_Eco-Bois_4_A_c,,,,2018-12-13,5.645373,45.021699
1310,"45.08912,5.6848",Grand-Sud,Varces Allières et Risset,,8 Rue Charles De Gaulle / Parking,,VER,verre,CA,aérien,3.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_3_A_c,,2018-12-11,Nouveau site de collecte,,5.6848,45.089118
1222,"45.0553,5.77764",Grand-Sud,Vizille,,Ecole Paul Langevin (Péage de Vizille) / 441 Rue Paul Langevin,,VER,verre,CA,aérien,4.0,SNNECO,Eco-Bois,,,Prestataire,Lely,Sale,SNNECO_Eco-Bois_4_A_k,,,,,5.777642,45.055298
1206,"45.0822,5.77383",Grand-Sud,Vizille,,EHPAD / 218 Chemin des Mattons,,VER,verre,CA,aérien,4.0,SNNECO,Eco-Bois,,,Prestataire,Lely,Bon,SNNECO_Eco-Bois_4_A_k,,,,,5.773835,45.082203
1333,"45.20517,5.77847",Nord-Est,Meylan,,53 Boulevard des Alpes / Gymnase des Buclos (parking),,VER,verre,CA,aérien,2.5,Citec,Cyclea,"Citec 2m3 Crochet, puce E2790482000028E6; gps",,Prestataire,Lely,,,,2019-09-06,Nouveau site de collecte,,5.7784689084066,45.20516812782
1267,"45.10954,5.66588",Grand-Sud,Claix,,23 Route du Château,,VER,verre,CA,aérien,3.0,Quadria,Linéance,,,Prestataire,Lely,Sale,Quadria_Linéance_3_A_c,,2017-11-16,,,5.665879,45.109544
1315,"45.25318,5.66232",Nord-Ouest,Fontanil Cornillon,,1 rue du Lanfrey,,VER,verre,CE,enterré,4.0,Plastic Omnium,Minimax 4,,,Prestataire,Lely,Bon,,,2019-02-08,Nouveau site de collecte,,5.662318,45.25318
5190,"45.16803,5.73215",Sud,Grenoble,6,44-46 Avenue La Bruyère,Villeneuve,CS,collecte sélective,CE,enterré,5.0,Citec,,,,Régie,Métro,Bon,,,,,,5.732151,45.168026
1096,"45.24521,5.66728",Nord-Ouest,Saint Egrève,,22ter-24-26 Rue de la Chartreuse,,VER,verre,CE,enterré,4.0,Citec,,,,Prestataire,Lely,Bon,Citec__4_E_k,,2015-03-XX,Installation colonne aérienne provisoire avant mise en place colonne enterrée définitive (2015-12-15),,5.667277,45.245212
1105,"45.25911,5.77714",Nord-Est,Le Sappey en Chartreuse,,Entrée village / Crèche / La Charmette / Route du Col de Porte (Route D512),,VER,verre,CA,aérien,4.0,SNNECO,Eco-Bois,Type bois,,Prestataire,Lely,Bon,SNNECO_EcoBois_4_A_c,,,,,5.77714,45.259109
1106,"45.26003,5.77625",Nord-Est,Le Sappey en Chartreuse,,La Virette / Camping / Ecole / Place des Justes,,VER,verre,CA,aérien,4.0,SNNECO,Eco-Bois,Type bois,,Prestataire,Lely,Bon,SNNECO_EcoBois_4_A_c,,,,,5.776255,45.26003
